"","X.x","sector","state","year","action_occurred","protest_occurred","strike_occurred","total_strikes","total_protests","total_actions","X.y","all_employees","avg_hourly_earnings_all","avg_hourly_earnings_production","avg_weekly_earnings_all","avg_weekly_earnings_production","avg_weekly_hours_all","avg_weekly_hours_production","production_nonsupervisory_employees","Labor.Force","Labor.Force.Participation.Rate","Unemployment.Rate","state_labor_force","state_labor_part","state_unempl_rate","X","adjusted_cpi"
"93",93,"Construction","Indiana",2023,0,0,0,0,0,0,119,162.358333333333,35.5566666666667,34.1608333333333,1366.41833333333,1422.28666666667,38.425,41.6166666666667,NA,3410605.33333333,63.2916666666667,3.45,3410.60533333333,63.2916666666667,3.45,423,280.888489
"94",94,"Construction","Indiana",2024,1,0,1,1,0,1,120,168.366666666667,36.1666666666667,34.5233333333333,1366.18583333333,1391.23416666667,37.7666666666667,40.275,NA,3455991.16666667,63.5333333333333,4.2,3455.99116666667,63.5333333333333,4.2,474,289.17921068
"95",95,"Construction","Indiana",2025,0,0,0,0,0,0,121,160.75,36.695,34.6425,1357.01,1294.9875,36.975,37.375,NA,3470930.75,63.5,3.85,3470.93075,63.5,3.85,NA,NA
"96",96,"Construction","Indiana",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"Construction","Iowa",2021,0,0,0,0,0,0,128,78.3,NA,NA,NA,NA,NA,NA,NA,1675921.33333333,66.9416666666667,3.875,1675.92133333333,66.9416666666667,3.875,322,243.218092320833
"98",98,"Construction","Iowa",2022,1,1,1,1,1,2,129,81.0333333333333,NA,NA,NA,NA,NA,NA,NA,1702041.83333333,67.7166666666667,2.85,1702.04183333333,67.7166666666667,2.85,373,258.55211315
"99",99,"Construction","Iowa",2023,0,0,0,0,0,0,130,83.6166666666667,NA,NA,NA,NA,NA,NA,NA,1712045.25,67.5916666666667,2.925,1712.04525,67.5916666666667,2.925,424,270.476747625
"100",100,"Construction","Iowa",2024,0,0,0,0,0,0,131,84.5833333333333,NA,NA,NA,NA,NA,NA,NA,1713051.25,66.9916666666667,3.03333333333333,1713.05125,66.9916666666667,3.03333333333333,475,278.460155715
"101",101,"Construction","Iowa",2025,0,0,0,0,0,0,132,76.05,NA,NA,NA,NA,NA,NA,NA,1725133.5,67.125,3.675,1725.1335,67.125,3.675,NA,NA
"102",102,"Construction","Iowa",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,"Construction","Kansas",2021,0,0,0,0,0,0,139,63.9416666666667,NA,NA,NA,NA,NA,NA,NA,1499635.08333333,66.55,3.375,1499.63508333333,66.55,3.375,323,247.250094920833
"104",104,"Construction","Kansas",2022,0,0,0,0,0,0,140,64.8833333333333,NA,NA,NA,NA,NA,NA,NA,1507841.66666667,66.6833333333333,2.73333333333333,1507.84166666667,66.6833333333333,2.73333333333333,374,262.41476865
"105",105,"Construction","Kansas",2023,0,0,0,0,0,0,141,67.85,NA,NA,NA,NA,NA,NA,NA,1524403.41666667,66.8666666666667,2.875,1524.40341666667,66.8666666666667,2.875,425,274.127103541667
"106",106,"Construction","Kansas",2024,0,0,0,0,0,0,142,71.1333333333333,NA,NA,NA,NA,NA,NA,NA,1545790.66666667,67.125,3.575,1545.79066666667,67.125,3.575,476,282.218255758333
"107",107,"Construction","Kansas",2025,0,0,0,0,0,0,143,71,NA,NA,NA,NA,NA,NA,NA,1550750,67,3.875,1550.75,67,3.875,NA,NA
"108",108,"Construction","Kansas",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
